player_name,position,stat_season,start_year,aav,cap_at_signing,aav_pct_cap,age_at_signing,gp_pct,toi_per_game,save_pct,hd_save_pct,gsaa,gsaa_per60,gaa,sa_per60,position_group
Joel Hofer,G,2024,2025,3400000.0,88000000.0,0.038636363636363635,24.0,0.3780487804878049,54.15537634408602,0.9035202086049544,0.7936507936507936,-4.340000000000003,-0.15510925354168126,2.6447199912636874,27.41216531485471,G
Daniel Vladar,G,2024,2025,3350000.0,88000000.0,0.03806818181818182,27.0,0.36585365853658536,59.367777777777775,0.8975308641975308,0.7906976744186046,0.9099999999999966,0.030656360539761444,2.7961295876925383,27.287529711216337,G
Alex Nedeljkovic,G,2024,2026,3000000.0,,,30.0,0.4634146341463415,56.60131578947368,0.8937381404174574,0.746031746031746,-0.980000000000004,-0.027338029151265892,3.124346188716089,29.40232931166748,G
Connor Ingram,G,2022,2023,1950000.0,83500000.0,0.023353293413173652,26.0,0.32926829268292684,58.76543209876544,0.9072916666666667,0.7241379310344828,3.680000000000007,0.13915966386554648,3.3655462184873945,36.30252100840336,G
Arvid Söderblom,G,2024,2025,2750000.0,88000000.0,0.03125,25.0,0.43902439024390244,58.236111111111114,0.8978840846366145,0.8067226890756303,0.9599999999999937,0.027474362031957848,3.1767231099451467,31.108991175769138,G
Cameron Talbot,G,2023,2024,2500000.0,88000000.0,0.028409090909090908,36.0,0.6585365853658537,57.705864197530865,0.9128101945003353,0.7448275862068966,10.740000000000009,0.2067958516743598,2.503115523060219,28.708809576021437,G
Anthony Stolarz,G,2023,2024,2500000.0,88000000.0,0.028409090909090908,30.0,0.32926829268292684,55.794444444444444,0.9254385964912281,0.7727272727272727,20.069999999999993,0.7993627402170663,2.031265558100169,27.242855720402268,G
Alex Nedeljkovic,G,2023,2024,2500000.0,88000000.0,0.028409090909090908,28.0,0.4634146341463415,54.22280701754386,0.9018286814244466,0.6853932584269663,-3.299999999999997,-0.09609473582036424,2.970200925356715,30.25528197495713,G
MacKenzie Blackwood,G,2022,2023,2350000.0,83500000.0,0.0281437125748503,26.0,0.2682926829268293,51.16136363636363,0.8934280639431617,0.746268656716418,-0.8599999999999994,-0.0458442539203056,3.1984363200213233,30.01199413620008,G
Anton Forsberg,G,2024,2025,2250000.0,88000000.0,0.02556818181818182,32.0,0.36585365853658536,55.88444444444444,0.9010416666666666,0.7659574468085106,2.230000000000004,0.07980753936694782,2.719898202640369,27.485287100365834,G
Alex Lyon,G,2024,2025,1500000.0,88000000.0,0.017045454545454544,32.0,0.36585365853658536,51.98777777777778,0.8964539007092198,0.8518518518518519,2.3700000000000045,0.09117527624014209,2.808352390519139,27.121759387890314,G
